%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 431365767, time taken: 4 microseconds
[Randmoised Selection] - Median: 431365767, time taken: 28 microseconds
[Median of Medians] - Median: 431365767, time taken: 38 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 559721890, time taken: 3 microseconds
[Randmoised Selection] - Median: 559721890, time taken: 15 microseconds
[Median of Medians] - Median: 559721890, time taken: 10 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 481865947, time taken: 4 microseconds
[Randmoised Selection] - Median: 481865947, time taken: 18 microseconds
[Median of Medians] - Median: 481865947, time taken: 10 microseconds
--------------------------------------[Arrays of size 100]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 567149282, time taken: 6 microseconds
[Randmoised Selection] - Median: 567149282, time taken: 9 microseconds
[Median of Medians] - Median: 567149282, time taken: 24 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 561010993, time taken: 5 microseconds
[Randmoised Selection] - Median: 561010993, time taken: 65 microseconds
[Median of Medians] - Median: 561010993, time taken: 34 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 536374346, time taken: 6 microseconds
[Randmoised Selection] - Median: 536374346, time taken: 28 microseconds
[Median of Medians] - Median: 536374346, time taken: 14 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 482884546, time taken: 13 microseconds
[Randmoised Selection] - Median: 482884546, time taken: 20 microseconds
[Median of Medians] - Median: 482884546, time taken: 19 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 457093201, time taken: 7 microseconds
[Randmoised Selection] - Median: 457093201, time taken: 13 microseconds
[Median of Medians] - Median: 457093201, time taken: 8 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 503141563, time taken: 5 microseconds
[Randmoised Selection] - Median: 503141563, time taken: 14 microseconds
[Median of Medians] - Median: 503141563, time taken: 13 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 464282552, time taken: 11 microseconds
[Randmoised Selection] - Median: 464282552, time taken: 14 microseconds
[Median of Medians] - Median: 464282552, time taken: 36 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 503099091, time taken: 5 microseconds
[Randmoised Selection] - Median: 503099091, time taken: 9 microseconds
[Median of Medians] - Median: 503099091, time taken: 38 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 485080691, time taken: 4 microseconds
[Randmoised Selection] - Median: 485080691, time taken: 16 microseconds
[Median of Medians] - Median: 485080691, time taken: 7 microseconds
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 451724916, time taken: 5 microseconds
[Randmoised Selection] - Median: 451724916, time taken: 22 microseconds
[Median of Medians] - Median: 451724916, time taken: 9 microseconds
--------------------------------------[Arrays of size 250]--------------------------------------
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[Naive Median Finder] - Median: 523990030, time taken: 21 microseconds
[Randmoised Selection] - Median: 523990030, time taken: 14 microseconds
[Median of Medians] - Median: 523990030, time taken: 27 microseconds
